hang_muc	id_the	ten_the	url
CẤU HÌNH	term-code-001	Shop	
CẤU HÌNH	term-code-002	Danh sách Shop	
CẤU HÌNH	term-code-003	mã Shop cần config	
CẤU HÌNH	term-code-004	Chi tiết	
CẤU HÌNH	term-code-005	Booking phân phối	
CẤU HÌNH	term-code-006	Lưu thông tin	
CẤU HÌNH	term-default-007	dashboard.ghtk.vn	http://dashboard.ghtk.vn/
CẤU HÌNH	term-code-008	Kho và sản phẩm	
CẤU HÌNH	term-code-009	Xem	
CẤU HÌNH	term-code-010	Chỉnh sửa	
CẤU HÌNH	term-code-011	Lưu sản phẩm	
CẤU HÌNH	term-default-012	https://khachhang.ghtk.vn/web/kho-va-san-ff	https://khachhang.ghtk.vn/web/kho-va-san-
ĐĂNG ĐƠN	term-code-013	Phiếu PO	
ĐĂNG ĐƠN	term-code-014	Đơn hàng	
ĐĂNG ĐƠN	term-code-015	Phiếu PO	
ĐĂNG ĐƠN	term-code-016	+ Phiếu PO	
ĐĂNG ĐƠN	term-code-017	Upload phiếu	
ĐĂNG ĐƠN	term-code-018	Tạo PO	
ĐĂNG ĐƠN	term-code-019	Tạo đơn hàng	
ĐĂNG ĐƠN	term-code-020	Đăng đơn PO	
ĐĂNG ĐƠN	term-code-021	Chọn PO	
ĐĂNG ĐƠN	term-code-022	chọn phiếu	
ĐĂNG ĐƠN	term-code-023	Danh sách PO	
ĐĂNG ĐƠN	term-code-024	Áp dụng	
ĐĂNG ĐƠN	term-code-025	Đăng đơn	
ĐĂNG ĐƠN	term-code-026	Tạo đơn PO	
ĐĂNG ĐƠN	term-code-027	Đăng ĐH	
ĐĂNG ĐƠN	term-default-028	http://khachhang.ghtk.vn/	http://khachhang.ghtk.vn/
ĐĂNG ĐƠN	term-yellow-029	ảnh chụp	
ĐĂNG ĐƠN	term-yellow-030	file PO	
ĐĂNG ĐƠN	term-yellow-031	hanhnm12	
ĐĂNG ĐƠN	term-yellow-032	ngatpth1	
ĐĂNG ĐƠN	term-code-033	Booking xe	
ĐĂNG ĐƠN	term-code-034	Click để mở danh sách	
ĐĂNG ĐƠN	term-code-035	thời gian hẹn cố định	
ĐĂNG ĐƠN	term-code-036	nhập KL, KT hàng hoá	
ĐĂNG ĐƠN	term-code-037	Lưu nháp	
ĐĂNG ĐƠN	term-code-038	&quot;Chưa tiếp nhận&quot;	
ĐĂNG ĐƠN	term-code-039	Lưu thông tin	
ĐĂNG ĐƠN	term-code-040	Tạo đơn hàng	
ĐĂNG ĐƠN	term-code-041	Booking xe	
ĐĂNG ĐƠN	term-gray-042	https://khachhang.ghtk.vn/	https://khachhang.ghtk.vn/
VẬN HÀNH	term-code-043	QUÉT PHIẾU	
VẬN HÀNH	term-code-044	Tạo phiếu PO	
VẬN HÀNH	term-code-045	KÉO THÊM	
VẬN HÀNH	term-code-046	Chọn dịch vụ	
VẬN HÀNH	term-code-047	Chọn PO	
VẬN HÀNH	term-code-048	Xác nhận	
VẬN HÀNH	term-code-049	LẤY HÀNG	
VẬN HÀNH	term-code-050	Có hàng phân phối	
VẬN HÀNH	term-code-051	Quét phiếu	
VẬN HÀNH	term-code-052	Tạo phiếu PO	
VẬN HÀNH	term-code-053	chọn sản phẩm	
VẬN HÀNH	term-code-054	tên sản phẩm	
VẬN HÀNH	term-code-055	Thêm mới	
VẬN HÀNH	term-code-056	Chọn số lượng &gt; 0	
VẬN HÀNH	term-code-057	Tạo Phiếu	
VẬN HÀNH	term-code-058	Xác nhận	
VẬN HÀNH	term-code-059	Xác nhận	
VẬN HÀNH	term-code-060	tạo phiếu	
VẬN HÀNH	term-code-061	Tài xế chọn UpLoad	
VẬN HÀNH	term-code-062	Tải lên	
VẬN HÀNH	term-code-063	Hợp lệ	
VẬN HÀNH	term-code-064	Tiếp tục	
VẬN HÀNH	term-code-065	Không hợp lệ	
VẬN HÀNH	term-code-066	tìm kiếm	
VẬN HÀNH	term-code-067	sản phẩm	
VẬN HÀNH	term-code-068	Tiếp tục	
VẬN HÀNH	term-code-069	CHƯA	
VẬN HÀNH	term-code-070	giá bán	
VẬN HÀNH	term-code-071	giá nhập	
VẬN HÀNH	term-code-072	khối lượng	
VẬN HÀNH	term-code-073	kích thướcDxRxC	
VẬN HÀNH	term-code-074	Tên sản phẩm	
VẬN HÀNH	term-code-075	số lượng	
VẬN HÀNH	term-code-076	in mã SKU sản phẩm	
VẬN HÀNH	term-code-077	Sản phẩm	
VẬN HÀNH	term-code-078	In mã	
VẬN HÀNH	term-code-079	Lấy hàng	
VẬN HÀNH	term-code-080	Xem thông tin phiếu	
VẬN HÀNH	term-code-081	In mã SKU	
VẬN HÀNH	term-code-082	máy in	
VẬN HÀNH	term-code-083	thiết bị in	
VẬN HÀNH	term-code-084	sản phẩm	
VẬN HÀNH	term-code-085	Xác nhận	
VẬN HÀNH	term-code-086	tạo phiếu	
