hang_muc	id_the	ten_the	url
CẤU HÌNH	term-code-001	Shop	
CẤU HÌNH	term-code-002	Danh sách Shop	
CẤU HÌNH	term-code-003	mã Shop cần config	
CẤU HÌNH	term-code-004	Chi tiết	
CẤU HÌNH	term-code-005	Booking phân phối	
CẤU HÌNH	term-code-006	Lưu thông tin	
CẤU HÌNH	term-default-007	dashboard.ghtk.vn	http://dashboard.ghtk.vn/
CẤU HÌNH	term-code-008	Kho và sản phẩm	
CẤU HÌNH	term-code-009	Xem	
CẤU HÌNH	term-code-010	Chỉnh sửa	
CẤU HÌNH	term-code-011	Lưu sản phẩm	
CẤU HÌNH	term-default-012	https://khachhang.ghtk.vn/web/kho-va-san-ff	https://khachhang.ghtk.vn/web/kho-va-san-
ĐĂNG ĐƠN	term-code-013	Phiếu PO	
ĐĂNG ĐƠN	term-code-014	Đơn hàng	
ĐĂNG ĐƠN	term-code-015	+ Phiếu PO	
ĐĂNG ĐƠN	term-code-016	Upload phiếu	
ĐĂNG ĐƠN	term-code-017	Tạo PO	
ĐĂNG ĐƠN	term-default-018	http://khachhang.ghtk.vn/	http://khachhang.ghtk.vn/
ĐĂNG ĐƠN	term-yellow-019	ảnh chụp	
ĐĂNG ĐƠN	term-yellow-020	file PO	
ĐĂNG ĐƠN	term-yellow-021	hanhnm12	
ĐĂNG ĐƠN	term-yellow-022	ngatpth1	
ĐĂNG ĐƠN	term-code-023	Tạo đơn hàng	
ĐĂNG ĐƠN	term-code-024	Đăng đơn PO	
ĐĂNG ĐƠN	term-code-025	Chọn PO	
ĐĂNG ĐƠN	term-code-026	chọn phiếu	
ĐĂNG ĐƠN	term-code-027	Danh sách PO	
ĐĂNG ĐƠN	term-code-028	Áp dụng	
ĐĂNG ĐƠN	term-code-029	Đăng đơn	
ĐĂNG ĐƠN	term-code-030	Tạo đơn PO	
ĐĂNG ĐƠN	term-code-031	Đăng ĐH	
ĐĂNG ĐƠN	term-code-032	Booking xe	
ĐĂNG ĐƠN	term-code-033	Click để mở danh sách	
ĐĂNG ĐƠN	term-code-034	thời gian hẹn cố định	
ĐĂNG ĐƠN	term-code-035	nhập KL, KT hàng hoá	
ĐĂNG ĐƠN	term-code-036	Lưu nháp	
ĐĂNG ĐƠN	term-code-037	"Chưa tiếp nhận"	
ĐĂNG ĐƠN	term-code-038	Lưu thông tin	
ĐĂNG ĐƠN	term-gray-039	https://khachhang.ghtk.vn/	https://khachhang.ghtk.vn/
VẬN HÀNH	term-code-040	QUÉT PHIẾU	
VẬN HÀNH	term-code-041	Tạo phiếu PO	
VẬN HÀNH	term-code-042	KÉO THÊM	
VẬN HÀNH	term-code-043	Chọn dịch vụ	
VẬN HÀNH	term-code-044	Chọn PO	
VẬN HÀNH	term-code-045	Xác nhận	
VẬN HÀNH	term-code-046	LẤY HÀNG	
VẬN HÀNH	term-code-047	Có hàng phân phối	
VẬN HÀNH	term-code-048	Quét phiếu	
VẬN HÀNH	term-code-049	chọn sản phẩm	
VẬN HÀNH	term-code-050	tên sản phẩm	
VẬN HÀNH	term-code-051	Thêm mới	
VẬN HÀNH	term-code-052	Chọn số lượng > 0	
VẬN HÀNH	term-code-053	Tạo Phiếu	
VẬN HÀNH	term-code-054	tạo phiếu	
VẬN HÀNH	term-code-055	Tài xế chọn UpLoad	
VẬN HÀNH	term-code-056	Tải lên	
VẬN HÀNH	term-code-057	Hợp lệ	
VẬN HÀNH	term-code-058	Tiếp tục	
VẬN HÀNH	term-code-059	Không hợp lệ	
VẬN HÀNH	term-code-060	tìm kiếm	
VẬN HÀNH	term-code-061	sản phẩm	
VẬN HÀNH	term-code-062	CHƯA	
VẬN HÀNH	term-code-063	giá bán	
VẬN HÀNH	term-code-064	giá nhập	
VẬN HÀNH	term-code-065	khối lượng	
VẬN HÀNH	term-code-066	kích thướcDxRxC	
VẬN HÀNH	term-code-067	Tên sản phẩm	
VẬN HÀNH	term-code-068	số lượng	
VẬN HÀNH	term-code-069	in mã SKU sản phẩm	
VẬN HÀNH	term-code-070	Sản phẩm	
VẬN HÀNH	term-code-071	In mã	
VẬN HÀNH	term-code-072	Lấy hàng	
VẬN HÀNH	term-code-073	Xem thông tin phiếu	
VẬN HÀNH	term-code-074	In mã SKU	
VẬN HÀNH	term-code-075	máy in	
VẬN HÀNH	term-code-076	thiết bị in	
VẬN HÀNH	term-code-077	kéo phiếu	
VẬN HÀNH	term-code-078	Update thông tin	
VẬN HÀNH	term-code-079	In mã Pallet	
VẬN HÀNH	term-code-080	Mã Pallet đối tác	
VẬN HÀNH	term-code-081	nhập số lượng	
VẬN HÀNH	term-code-082	Mã Pallet của GHTK	
VẬN HÀNH	term-code-083	mã pallet	
VẬN HÀNH	term-code-084	Gán Pallet	
VẬN HÀNH	term-code-085	Chọn PO cần gán	
VẬN HÀNH	term-code-086	Sản Phẩm	
