table_id,column_1,column_2,column_3
table-1,Nhóm tiêu chí,PO – Phân phối (Thương mại / Sản xuất),SO – Shop Online / Bán sỉ
table-2,Bộ phận thực hiện,Nội dung,
table-3,Bộ phận thực hiện,Nội dung,
table-4,Bộ phận thực hiện,Nội dung,
table-5,Bộ phận thực hiện,Nội dung,
table-6,Bộ phận thực hiện,Nội dung,
table-7,Bộ phận thực hiện,Nội dung,
table-8,Bộ phận thực hiện,Nội dung,
table-9,Bộ phận thực hiện,Nội dung,
table-10,Bộ phận thực hiện,Nội dung,
table-11,Bộ phận thực hiện,Nội dung,
table-12,Bộ phận thực hiện,Nội dung,
table-13,Bộ phận thực hiện,Nội dung,
table-14,Bộ phận thực hiện,Nội dung,
table-15,Bộ phận thực hiện,Nội dung,
table-16,Bộ phận thực hiện,Nội dung,
table-17,Bộ phận thực hiện,Nội dung,
table-18,Bộ phận thực hiện,Nội dung,
