hang_muc,id_the,ten_the,url
CẤU HÌNH,term-code-002,dashboard.ghtk.vn,http://dashboard.ghtk.vn/
CẤU HÌNH,term-code-003,"Shop",
CẤU HÌNH,term-code-004,Danh sách Shop,
CẤU HÌNH,term-code-005,mã Shop cần config,
CẤU HÌNH,term-code-006,"Chi tiết",
CẤU HÌNH,term-code-007,"Booking phân phối",
CẤU HÌNH,term-code-008,"Lưu thông tin",
CẤU HÌNH,term-code-009,https://khachhang.ghtk.vn/web/kho-va-san-,https://khachhang.ghtk.vn/web/kho-va-san-ff
CẤU HÌNH,term-code-010,"Kho và sản phẩm",
CẤU HÌNH,term-code-011,"Xem",
CẤU HÌNH,term-code-012,"Chỉnh sửa",
CẤU HÌNH,term-code-013,"Lưu sản phẩm",
ĐĂNG ĐƠN,term-code-014,"Phiếu PO",
ĐĂNG ĐƠN,term-code-015,http://khachhang.ghtk.vn/,http://khachhang.ghtk.vn/
ĐĂNG ĐƠN,term-code-016,"Đơn hàng",
ĐĂNG ĐƠN,term-code-017,"Phiếu PO",
ĐĂNG ĐƠN,term-code-018,"+ Phiếu PO",
ĐĂNG ĐƠN,term-code-019,Upload phiếu,
ĐĂNG ĐƠN,term-code-020,ảnh chụp,
ĐĂNG ĐƠN,term-code-021,file PO,
ĐĂNG ĐƠN,term-code-022,hanhnm12,
ĐĂNG ĐƠN,term-code-023,ngatpth1,
ĐĂNG ĐƠN,term-code-024,"Tạo PO",
ĐĂNG ĐƠN,term-code-025,"Tạo đơn hàng",
ĐĂNG ĐƠN,term-code-026,đăng đơn,
ĐĂNG ĐƠN,term-code-027,"Đăng đơn PO",
ĐĂNG ĐƠN,term-code-028,"Chọn PO",
ĐĂNG ĐƠN,term-code-029,chọn phiếu,
ĐĂNG ĐƠN,term-code-030,"Danh sách PO",
ĐĂNG ĐƠN,term-code-031,"Áp dụng",
ĐĂNG ĐƠN,term-code-032,"Đăng đơn",
ĐĂNG ĐƠN,term-code-033,"Tạo đơn PO",
ĐĂNG ĐƠN,term-code-034,"Tạo đơn PO",
ĐĂNG ĐƠN,term-code-035,"Đăng ĐH",
ĐĂNG ĐƠN,term-blue-001,TH1: Chọn thủ công từng PO,
ĐĂNG ĐƠN,term-blue-002,TH2: Chọn nhiều PO,
ĐĂNG ĐƠN,term-code-036,Bấm vào,
ĐĂNG ĐƠN,term-code-037,dịch vụ khác,
ĐĂNG ĐƠN,term-code-038,dịch vụ khác,
ĐĂNG ĐƠN,term-code-039,kho lấy mặc định,
ĐĂNG ĐƠN,term-code-040,Bấm vào,
ĐĂNG ĐƠN,term-code-041,danh sách địa chỉ kho lấy,
ĐĂNG ĐƠN,term-code-042,hẹn lấy cố định,
